name,label,label::English (en),label::Hausa (ha),aware_category,list_version
J01CA04,Amoxicillin (Access),Amoxicillin (Access),Amoxicillin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01CR02,Amoxicillin + clavulanic acid (Access),Amoxicillin + clavulanic acid (Access),Amoxicillin da clavulanic acid (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01CE02,Phenoxymethylpenicillin (Access),Phenoxymethylpenicillin (Access),Phenoxymethylpenicillin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01CF04,Cloxacillin (Access),Cloxacillin (Access),Cloxacillin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01EE01,Cotrimoxazole (Access),Cotrimoxazole (Access),Cotrimoxazole (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01AA02,Doxycycline (Access),Doxycycline (Access),Doxycycline (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01FF01,Clindamycin (Access),Clindamycin (Access),Clindamycin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01XD01,Metronidazole (Access),Metronidazole (Access),Metronidazole (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01GB03,Gentamicin (Access),Gentamicin (Access),Gentamicin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01DB04,Cefazolin (Access),Cefazolin (Access),Cefazolin (Access),Access,PLACEHOLDER-WHO-AWaRe-2023
J01FA10,Azithromycin (Watch),Azithromycin (Watch),Azithromycin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01FA09,Clarithromycin (Watch),Clarithromycin (Watch),Clarithromycin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01FA01,Erythromycin (Watch),Erythromycin (Watch),Erythromycin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01MA02,Ciprofloxacin (Watch),Ciprofloxacin (Watch),Ciprofloxacin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01MA12,Levofloxacin (Watch),Levofloxacin (Watch),Levofloxacin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01DD04,Ceftriaxone (Watch),Ceftriaxone (Watch),Ceftriaxone (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01DD08,Cefixime (Watch),Cefixime (Watch),Cefixime (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01DC02,Cefuroxime (Watch),Cefuroxime (Watch),Cefuroxime (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01DH51,Imipenem + cilastatin (Watch),Imipenem + cilastatin (Watch),Imipenem da cilastatin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
J01XA01,Vancomycin (Watch),Vancomycin (Watch),Vancomycin (Watch),Watch,PLACEHOLDER-WHO-AWaRe-2023
OTHER96,Other - specify (Unclassified),Other - specify (Unclassified),Wani magani - bayyana,Unclassified,PLACEHOLDER-WHO-AWaRe-2023
DK98,Do not know which medicine (Unclassified),Do not know which medicine (Unclassified),Ban san wane magani ba,Unclassified,PLACEHOLDER-WHO-AWaRe-2023
