name,label,settlement_type,ward_code,lga_code
S01324,Adwade,Hamlet,W018,LGA02
S01361,Agludu,Settlement,W018,LGA02
S01338,Bangofa-Kudu,Village,W018,LGA02
S01354,Bidefa,Village,W018,LGA02
S01326,Biduru,Settlement,W018,LGA02
S01364,Bitija,Hamlet,W018,LGA02
S01363,Bitina,Village,W018,LGA02
S01340,Biwadu-Gabas,Settlement,W018,LGA02
S01330,Daduna,Hamlet,W018,LGA02
S01367,Doluko,Village,W018,LGA02
S01329,Enluri,Settlement,W018,LGA02
S01347,Ennadu,Settlement,W018,LGA02
S01350,Enwatu,Settlement,W018,LGA02
S01343,Enyoko,Village,W018,LGA02
S01325,Fadeba,Village,W018,LGA02
S01327,Faluna,Village,W018,LGA02
S01341,Gungode,Settlement,W018,LGA02
S01353,Gungofa,Village,W018,LGA02
S01348,Ibbeja,Hamlet,W018,LGA02
S01344,Ibnani-Kudu,Hamlet,W018,LGA02
S01362,Irkowo,Village,W018,LGA02
S01349,Irnata-Yamma,Hamlet,W018,LGA02
S01337,Iryoru,Village,W018,LGA02
S01358,Jidusa,Hamlet,W018,LGA02
S01336,Jikotu-Kudu,Hamlet,W018,LGA02
S01335,Jiritu,Settlement,W018,LGA02
S01352,Kangoko,Village,W018,LGA02
S01332,Kubema,Settlement,W018,LGA02
S01360,Kukota-Yamma,Hamlet,W018,LGA02
S01339,Kuwawo,Village,W018,LGA02
S01346,Lowama-Gabas,Village,W018,LGA02
S01323,Majita,Settlement,W018,LGA02
S01366,Mangona,Settlement,W018,LGA02
S01370,Marawo,Village,W018,LGA02
S01365,Nubeshi,Hamlet,W018,LGA02
S01333,Nudude,Village,W018,LGA02
S01345,Nuwawa,Hamlet,W018,LGA02
S01359,Nuyotu-Gabas,Hamlet,W018,LGA02
S01357,Olmafa-Tsakiya,Hamlet,W018,LGA02
S01356,Risawa-Gabas,Village,W018,LGA02
S01334,Tariba,Village,W018,LGA02
S01351,Tatsiru,Hamlet,W018,LGA02
S01322,Umluri,Hamlet,W018,LGA02
S01328,Ummale,Village,W018,LGA02
S01369,Umriba,Village,W018,LGA02
S01368,Wajitu-Arewa,Village,W018,LGA02
S01342,Yebafa,Village,W018,LGA02
S01355,Zanawa,Hamlet,W018,LGA02
S01331,Zawaru,Village,W018,LGA02
S00938,Bijiru,Village,W012,LGA02
S00941,Doyoru,Village,W012,LGA02
S00949,Ennale,Village,W012,LGA02
S00930,Enngoni-Yamma,Village,W012,LGA02
S00935,Ensawo,Village,W012,LGA02
S00932,Habatu,Hamlet,W012,LGA02
S00944,Haluta,Village,W012,LGA02
S00952,Ibdushi,Hamlet,W012,LGA02
S00946,Ibmawa,Village,W012,LGA02
S00929,Jikoko,Village,W012,LGA02
S00940,Kabafa-Yamma,Hamlet,W012,LGA02
S00948,Kamasa,Village,W012,LGA02
S00927,Kujifa,Village,W012,LGA02
S00934,Kurisa,Hamlet,W012,LGA02
S00943,Kuriwo,Village,W012,LGA02
S00942,Kushaba,Settlement,W012,LGA02
S00947,Mazana,Settlement,W012,LGA02
S00936,Nuderi,Hamlet,W012,LGA02
S00939,Okngori,Settlement,W012,LGA02
S00931,Rijidu,Hamlet,W012,LGA02
S00928,Satside,Village,W012,LGA02
S00926,Sungodu,Village,W012,LGA02
S00933,Tawako,Village,W012,LGA02
S00937,Umsale,Village,W012,LGA02
S00945,Umtiwo,Village,W012,LGA02
S00951,Wamama,Settlement,W012,LGA02
S00950,Zakota,Hamlet,W012,LGA02
S00881,Adyowo,Hamlet,W011,LGA02
S00895,Aglayi,Village,W011,LGA02
S00888,Bibafa,Settlement,W011,LGA02
S00882,Bimaba-Kofar,Settlement,W011,LGA02
S00887,Biwaba,Settlement,W011,LGA02
S00910,Bizatu,Village,W011,LGA02
S00901,Dayoni-Kudu,Settlement,W011,LGA02
S00875,Dazaba,Hamlet,W011,LGA02
S00914,Doshawo,Hamlet,W011,LGA02
S00912,Endefa,Hamlet,W011,LGA02
S00900,Enjiwa,Settlement,W011,LGA02
S00879,Enluwa,Urban block,W011,LGA02
S00906,Ennashi,Settlement,W011,LGA02
S00890,Entina,Hamlet,W011,LGA02
S00918,Enwade,Hamlet,W011,LGA02
S00908,Falami,Hamlet,W011,LGA02
S00880,Farani,Settlement,W011,LGA02
S00920,Farasa,Hamlet,W011,LGA02
S00872,Fayowo,Village,W011,LGA02
S00874,Guderu,Village,W011,LGA02
S00905,Gurawa,Settlement,W011,LGA02
S00915,Gurija,Hamlet,W011,LGA02
S00876,Guzafa,Hamlet,W011,LGA02
S00903,Halaru,Settlement,W011,LGA02
S00897,Ibdeta,Village,W011,LGA02
S00873,Ibsharu,Village,W011,LGA02
S00925,Ibtsiwa,Village,W011,LGA02
S00907,Jibari,Village,W011,LGA02
S00922,Jideri,Village,W011,LGA02
S00899,Jinani,Hamlet,W011,LGA02
S00911,Kuride,Village,W011,LGA02
S00896,Kuyoko,Village,W011,LGA02
S00886,Lodeja,Hamlet,W011,LGA02
S00894,Lolade,Village,W011,LGA02
S00891,Lowatu,Village,W011,LGA02
S00923,Nulako,Village,W011,LGA02
S00913,Nuradu,Hamlet,W011,LGA02
S00924,Oktina,Village,W011,LGA02
S00889,Oktsini,Hamlet,W011,LGA02
S00892,Olbeba,Village,W011,LGA02
S00921,Olbemi-Kudu,Hamlet,W011,LGA02
S00917,Olmami,Village,W011,LGA02
S00884,Ribawa,Hamlet,W011,LGA02
S00885,Riduko,Village,W011,LGA02
S00883,Ritsiba,Hamlet,W011,LGA02
S00904,Sadedu,Hamlet,W011,LGA02
S00898,Saduri-Gabas,Settlement,W011,LGA02
S00893,Sashaba,Hamlet,W011,LGA02
S00916,Suzayi,Hamlet,W011,LGA02
S00902,Talawo,Village,W011,LGA02
S00877,Umlawo,Hamlet,W011,LGA02
S00878,Wazami,Hamlet,W011,LGA02
S00909,Zabale,Settlement,W011,LGA02
S00919,Zalasa,Village,W011,LGA02
S00864,Agngoja,Village,W010,LGA02
S00857,Baludu-Gabas,Hamlet,W010,LGA02
S00843,Bibeyi,Village,W010,LGA02
S00866,Bilade,Hamlet,W010,LGA02
S00837,Biyomi,Hamlet,W010,LGA02
S00840,Dajile,Urban block,W010,LGA02
S00853,Dobesa,Urban block,W010,LGA02
S00862,Dolari,Village,W010,LGA02
S00831,Enluru,Village,W010,LGA02
S00855,Entima-Sabo,Hamlet,W010,LGA02
S00847,Fariwa-Tsakiya,Village,W010,LGA02
S00856,Gudeja,Settlement,W010,LGA02
S00839,Guluma,Settlement,W010,LGA02
S00867,Hamasa-Tudun,Hamlet,W010,LGA02
S00868,Ibbawo,Hamlet,W010,LGA02
S00826,Ibyofa,Village,W010,LGA02
S00850,Irmana-Sabo,Village,W010,LGA02
S00858,Jiyole-Yamma,Village,W010,LGA02
S00833,Kasani,Village,W010,LGA02
S00829,Kutsiwo,Settlement,W010,LGA02
S00848,Lodewa,Hamlet,W010,LGA02
S00836,Madeko,Hamlet,W010,LGA02
S00851,Okbami,Village,W010,LGA02
S00841,Okkoni,Village,W010,LGA02
S00860,Okmami,Village,W010,LGA02
S00846,Okshata,Hamlet,W010,LGA02
S00861,Okwaba,Hamlet,W010,LGA02
S00870,Okyosa,Hamlet,W010,LGA02
S00828,Okzade,Village,W010,LGA02
S00849,Ribefa,Village,W010,LGA02
S00863,Sarawo,Settlement,W010,LGA02
