name,label,team_code,label_prefix,range_start,range_end
TM01,TM01: BSN480000-480899,TM01,BSN,480000,480899
TM02,TM02: BSN480900-481799,TM02,BSN,480900,481799
TM03,TM03: BSN481800-482699,TM03,BSN,481800,482699
TM04,TM04: BSN482700-483599,TM04,BSN,482700,483599
TM05,TM05: BSN483600-484499,TM05,BSN,483600,484499
TM06,TM06: BSN484500-485399,TM06,BSN,484500,485399
TM07,TM07: BSN485400-486299,TM07,BSN,485400,486299
TM08,TM08: BSN486300-487199,TM08,BSN,486300,487199
TM09,TM09: BSN487200-488099,TM09,BSN,487200,488099
TM10,TM10: BSN488100-488999,TM10,BSN,488100,488999
TM11,TM11: BSN489000-489899,TM11,BSN,489000,489899
TM12,TM12: BSN489900-490799,TM12,BSN,489900,490799
TM13,TM13: BSN490800-491699,TM13,BSN,490800,491699
TM14,TM14: BSN491700-492599,TM14,BSN,491700,492599
TM15,TM15: BSN492600-493499,TM15,BSN,492600,493499
TM16,TM16: BSN493500-494399,TM16,BSN,493500,494399
TM17,TM17: BSN494400-495299,TM17,BSN,494400,495299
TM18,TM18: BSN495300-496199,TM18,BSN,495300,496199
TM19,TM19: BSN496200-497099,TM19,BSN,496200,497099
TM20,TM20: BSN497100-497999,TM20,BSN,497100,497999
TM21,TM21: BSN498000-498899,TM21,BSN,498000,498899
TM22,TM22: BSN498900-499799,TM22,BSN,498900,499799
TM23,TM23: BSN499800-500699,TM23,BSN,499800,500699
TM24,TM24: BSN500700-501599,TM24,BSN,500700,501599
