facility_id,facility_name,facility_type,lga_name,ward_name,longitude,latitude,staff_total
HF0107,Maljiwo Central PHC,Primary Health Center,IDI-ORO,Sokmiri,"7,722418",11.307926,10
HF0072,Jostile Rural Health Post,Health Post, Gwarin,Sokmiri,7.181399,10.987318,22
HF0158,Kungomi Model PHC,Primary health centre,Katsuma ,Sokmiri,7.732073,10.571070,4
HF0192,Daibewo Central Health Post,Health post,idi-oro,Balawo,7.565687,11.152563,18
HF0195,  Ngenuta Rural Health Post ,Health post,Katsuma,Balawo,8.188323,11.286362,14
HF0127,Baluru Model PHC,Primary Health Center, Gwarin,Yeluwa,8.346067,10.826976,20
HF0188,Uzoyosa North Cottage Hospital,Cottage hospital,Ilela ,Hanjile,8.330023,11.141223,5
HF0171,Lokshasa North Cottage Hospital,Cottage hospital,KATSUMA,Daberi,7.024086,10.463388,7
HF0116,Zamjidu Rural Cottage Hospital,Cottage hospital,GWARIN,Daibewo,7.452773,11.170498,15
HF0110,Baluru North PHC,Primary health centre,ILELA,Tasayi,8.234214,11.330393,2
HF0132,Tasayi Rural Cottage Hospital,Cottage hospital,GWARIN,Lokshasa,7.102607,10.702864,17
HF0040,  Balawo North Cottage Hospital ,Cottage hospital,KATSUMA,Kungomi,8.253398,11.429753,5
HF0019,Balawo North Health Post,Health post,Idi-Oro,Hanjile,8.414265,11.384127,2
HF0009,  Yeluwa Model Health Post ,Health Post,Katsuma,Maljiwo,6.973567,11.266354,7
HF0018,Baluru Model Health Post,HEALTH POST,Idi-oro,Ngenuta,7.401577,10.662072,12
HF0006,  Maljiwo Health Post ,Health Post,KATSUMA,Hanjile,8.241005,10.638918,17
HF0071,Adwade Central Cottage Hospital,Cottage Hospital,IDI-ORO,Maljiwo,8.019448,10.874857,20
HF0087,Lokshasa Cottage Hospital,Cottage Hospital,Katsuma,Sokmiri,8.302020,11.191170,19
HF0023,Jostile Model PHC,PHC,Idi-Oro,Dazata,7.728547,11.512426,16
HF0115,Dazata Rural Health Post,Health post,ILELA,Daibewo,6.957126,11.205242,17
HF0092,Yeluwa South Cottage Hospital,Cottage Hospital,Ilela,Balawo,6.978882,11.316078,13
HF0082,Ngenuta North Cottage Hospital,Cottage hospital,Ilela,Baluru,7.765100,10.648449,24
HF0193,Tasayi South Cottage Hospital,Cottage hospital,Idi Oro,Dazata,7.727284,10.676384,19
HF0175,Daibewo North Health Post,Health post,idi-oro,Jostile,7.944745,11.145860,4
HF0067,Maljiwo South PHC,PHC,KATSUMA,Uzoyosa,7.524469,11.191365,18
HF0134,Yeluwa Cottage Hospital,Cottage Hospital,Idi Oro,Ngenuta,7.559450,10.471758,20
HF0026,Zamjidu PHC,PHC,Katsuma ,Maljiwo,8.403400,11.433535,20
HF0045,Zamjidu North Health Post,HEALTH POST,ILELA,Tasayi,7.779052,10.776983,15
HF0020,Yeluwa Model PHC,Primary health centre,ILELA,Sokmiri,7.783747,11.479565,24
HF0190,Yeluwa Model Cottage Hospital,Cottage Hospital,IDI-ORO,Dazata,7.813242,10.924001,21
HF0140,Jostile North Cottage Hospital,Cottage hospital,Katsuma,Baluru,,,10
HF0035,  Lokshasa South Health Post ,Health post,Katsuma,Ngenuta,7.462430,10.373161,12
HF0122,Uzoyosa South PHC,Primary Health Centre,idi-oro,Zamjidu,7.392648,10.621742,20
HF0105,  Daibewo South Health Post ,Health Post,gwarin,Dazata,8.179181,11.229419,6
HF0163,Ngenuta North Health Post,HEALTH POST,Idi-oro,Suwade,"7,695202",10.653963,20
HF0144,Kungomi Health Post,HEALTH POST,Katsuma ,Tasayi,7.796272,11.502757,10
HF0133,Yeluwa Rural PHC,PHC,IDI-ORO,Lokshasa,7.966786,11.488599,20
HF0150,Daibewo Rural PHC,Primary Health Center,Ilela,Daibewo,6.989040,10.513878,17
HF0083,Baluru North Cottage Hospital,Cottage Hospital,ILELA,Jostile,7.253096,11.535896,8
HF0146,  Daibewo Central Cottage Hospital ,Cottage Hospital,Ilela,Lokshasa,7.353356,11.198139,21
HF0137,Baluru North Cottage Hospital,Cottage Hospital,Katsuma,Uzoyosa,7.698430,10.862475,18
HF0037,Jostile Rural PHC,PHC,idi-oro,Uzoyosa,7.283132,10.889369,8
HF0111,Daberi Model PHC,Primary Health Center,Gwarin,Ngenuta,"7,348278",10.557786,18
HF0124,Daberi South PHC,Primary health centre,Katsuma,Yeluwa,8.198987,11.073650,11
HF0046,Zamjidu Model PHC,Primary health centre,Katsuma,Dazata,8.215980,10.398678,19
HF0089,Sokmiri Central PHC,Primary health centre,GWARIN,Balawo,7.038111,11.376176,14
HF0152,Dazata Rural PHC,PHC,Ilela ,Suwade,"8,105975",11.495772,9
HF0173,Adwade Rural Cottage Hospital,Cottage hospital,Gwarin,Yeluwa,7.247323,11.194440,11
