facility_id,facility_name,facility_type,lga_name,ward_name,longitude,latitude,staff_total
HF0140,Jostile Model Health Post,HEALTH POST,Katsuma ,Baluru,7.313692,10.469762,8
HF0145,Daberi North Cottage Hospital,Cottage Hospital, Gwarin,Baluru,8.276650,11.447965,5
HF0106,Kungomi North Health Post,HEALTH POST,ilela,Baluru,7.760207,11.200606,6
HF0188,Jostile North PHC,PHC,ilela,Baluru,7.088614,11.449706,10
HF0060,  Yeluwa Rural PHC ,Primary Health Center,Ilela,Dazata,7.545444,10.964450,2
HF0169,Jostile North Cottage Hospital,Cottage hospital,KATSUMA,Dazata,7.413943,10.729569,13
HF0152,Maljiwo PHC,Primary Health Center,gwarin,Maljiwo,8.428627,11.392199,11
HF0065,  Ngenuta South Cottage Hospital ,Cottage hospital,KATSUMA,Adwade,7.571461,10.737578,2
HF0057,  Maljiwo North PHC ,PHC,Katsuma,Hanjile,7.177587,10.701917,8
HF0149,Baluru South Cottage Hospital,Cottage hospital,Katsuma ,Daibewo,7.147781,11.106818,13
HF0088,Zamjidu North Health Post,HEALTH POST,IDI-ORO,Kungomi,6.980000,11.366466,14
HF0111,Baluru PHC,Primary Health Center,GWARIN,Daibewo,7.762064,11.202978,11
HF0017,Dazata Central PHC,Primary Health Center,Gwarin,Sokmiri,8.047350,10.708302,15
HF0009,Uzoyosa Central PHC,Primary Health Centre,Gwarin,Yeluwa,8.423397,11.029389,7
HF0011,Tasayi South PHC,Primary Health Center,ILELA,Daberi,7.610141,10.375574,18
HF0041,Sokmiri Rural Cottage Hospital,Cottage Hospital,Ilela ,Uzoyosa,,,12
HF0187,Ngenuta Central PHC,PHC,Katsuma,Daibewo,7.616226,10.569496,10
HF0087,  Daibewo North PHC ,Primary Health Center,Idi-oro,Lokshasa,7.337313,10.895697,5
HF0085,Uzoyosa Rural Health Post,HEALTH POST,Ilela ,Maljiwo,7.775615,10.981249,9
HF0010,Adwade South Cottage Hospital,Cottage Hospital,Ilela,Adwade,7.702774,11.553735,24
HF0121,Jostile South PHC,Primary health centre,Gwarin,Sokmiri,7.033632,10.727355,21
HF0162,Dazata Cottage Hospital,Cottage Hospital, Gwarin,Adwade,7.940725,11.258940,12
HF0170,Balawo South PHC,Primary Health Center,Idi-Oro,Suwade,8.336527,11.359837,20
HF0142,  Zamjidu South PHC ,Primary Health Centre,Ilela ,Yeluwa,7.435432,10.980724,20
HF0063,Dazata Rural PHC,PHC,Idi-oro,Yeluwa,7.652014,11.482128,19
HF0182,Zamjidu Rural Cottage Hospital,Cottage Hospital,Idi-oro,Uzoyosa,7.610474,10.588390,6
HF0064,  Uzoyosa South PHC ,Primary Health Center,GWARIN,Baluru,8.214219,11.156268,22
HF0144,Daberi Model Cottage Hospital,Cottage hospital,Ilela ,Dazata,7.601345,11.061823,6
HF0023,Tasayi PHC,Primary Health Center,Ilela,Daberi,7.220378,10.685588,10
HF0051,Hanjile Rural Health Post,HEALTH POST,Katsuma,Adwade,7.299938,10.901229,12
HF0100,Yeluwa Rural Health Post,Health Post,IDI-ORO,Kungomi,7.868748,10.575137,4
HF0061,Zamjidu South PHC,PHC,Katsuma,Jostile,7.310275,10.573919,13
HF0014,  Adwade Central PHC ,Primary health centre,Katsuma,Yeluwa,7.324972,11.192576,2
HF0123,Hanjile Central PHC,Primary Health Centre,ILELA,Balawo,7.152638,10.837020,5
HF0150,Yeluwa North PHC,PHC,idi-oro,Suwade,8.199729,11.432220,23
HF0012,Lokshasa Central Cottage Hospital,Cottage Hospital,Katsuma ,Dazata,7.746110,10.673915,18
HF0067,Maljiwo Health Post ,Health post,gwarin,Adwade,7.850415,11.143267,23
HF0102,Balawo South PHC,Primary health centre,gwarin,Suwade,8.129458,10.720276,19
HF0006,  Hanjile Rural Health Post ,Health Post,KATSUMA,Ngenuta,7.309387,11.009071,2
HF0081,Kungomi Model Health Post,Health post,Katsuma,Tasayi,8.051161,10.684744,23
HF0032,Uzoyosa PHC,Primary Health Centre,Ilela ,Yeluwa,7.386172,10.865848,21
HF0157,Adwade Central PHC,Primary Health Center,Ilela ,Maljiwo,7.203653,10.775491,19
HF0084,Maljiwo North PHC,Primary health centre,KATSUMA,Balawo,7.239531,10.479006,11
HF0031,Daberi North PHC,PHC,Katsuma ,Maljiwo,8.293803,10.393615,19
HF0015,Tasayi South PHC,Primary health centre,KATSUMA,Yeluwa,8.006232,10.524942,3
HF0026,Ngenuta Model Health Post,HEALTH POST,KATSUMA,Balawo,8.173035,11.077790,9
HF0122,Sokmiri Model PHC,PHC,Gwarin,Tasayi,7.678318,11.156227,2
HF0009,Uzoyosa Central PHC ,Primary Health Centre,Gwarin,Yeluwa,8.423397,11.029389,11
HF0024,Ngenuta Model Cottage Hospital,Cottage hospital,Idi Oro,Uzoyosa,8.344779,10.418921,16
HF0135,Balawo Cottage Hospital,Cottage Hospital,Ilela,Daberi,7.566165,11.024014,18
HF0086,Yeluwa Model Cottage Hospital,Cottage hospital,Idi-oro,Kungomi,7.403180,11.093863,21
HF0072,Sokmiri Cottage Hospital,Cottage hospital,ilela,Lokshasa,,,6
HF0127,Kungomi Health Post,Health Post,Ilela,Adwade,7.197534,10.751861,15
HF0118,  Baluru South Health Post ,Health post,Gwarin,Balawo,7.816878,10.936380,7
HF0090,Adwade Model PHC,PHC,Gwarin,Balawo,6.970862,11.001323,19
HF0160,Suwade Model Cottage Hospital,Cottage Hospital,Katsuma,Hanjile,"7,638848",11.281958,5
HF0117,Ngenuta South Health Post,HEALTH POST,Idi-oro,Yeluwa,7.859394,10.519966,16
HF0108,Daberi PHC,PHC,gwarin,Daibewo,7.922218,10.616777,20
